id,lat,lon,name
1,34.0537,-118.2427,Downtown LA (City Hall)
2,33.9850,-118.4695,Venice Beach
3,34.1478,-118.1445,Pasadena (City Hall)
4,34.0095,-118.4974,Santa Monica (Pier)
5,34.1016,-118.3267,Hollywood (Walk of Fame)
6,34.0689,-118.4452,UCLA (Westwood)
7,34.0224,-118.2851,USC (University Park)
8,33.7701,-118.1937,Long Beach (Downtown)
9,34.1425,-118.2551,Glendale (Downtown)
10,34.1808,-118.3090,Burbank (Media District)

